Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-6,36909314599226E-05","-0,0393380161065333","-0,00901080851197102",0,0,0,"0,249564590974204","0,00021155786866528","2,31704117484132E-07","5,65578091832376E-07","0,000389150499118312","-4,30947185972461E-05","0,000323221631169198",0,0,0,0,0,0,package://UDRF_sumo.final.SLDASM/meshes/base_link.STL,"0,498039215686275","0,498039215686275","0,498039215686275",1,0,0,0,0,0,0,package://UDRF_sumo.final.SLDASM/meshes/base_link.STL,,Pieza1-1;Sumo-1;tapasumo-1;DC_Gear_Motor-2;DC_Gear_Motor-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Rueda_Izquierda_Link,"5,30294939179304E-07","0,00682018756331903","3,1516355939766E-06",0,0,0,"0,00900114044055008","1,19029948922833E-06","2,59836989622918E-12","-2,88863350933591E-13","2,17799134379515E-06","8,29985476520411E-12","1,19029028327058E-06",0,0,0,0,0,0,package://UDRF_sumo.final.SLDASM/meshes/Rueda_Izquierda_Link.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://UDRF_sumo.final.SLDASM/meshes/Rueda_Izquierda_Link.STL,,Llanta-2;RIN LLANTA SUMO-FUT10-2,Origin_Rueda_Izquierda_joint,Axis_Rueda_Izquierda_joint,Rueda_Izquierda_joint,continuous,"0,0357","-0,0578478593522747","0,0210034789748472","1,5707963267949","1,5707963267949",0,base_link,0,-1,0,50,50,,,,,"0,1","0,1",,,,
Rueda_Derecha_Link,"-2,16771515439834E-06","0,00682018756331901","-2,34841023866693E-06",0,0,0,"0,00900114044055008","1,19029647075324E-06","-6,71483191368762E-12","-4,33130514673031E-12","2,17799134379515E-06","-5,52721879528086E-12","1,19029330174566E-06",0,0,0,0,0,0,package://UDRF_sumo.final.SLDASM/meshes/Rueda_Derecha_Link.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://UDRF_sumo.final.SLDASM/meshes/Rueda_Derecha_Link.STL,,Llanta-1;RIN LLANTA SUMO-FUT10-1,Origin_Rueda_Derecha_joint,Axis_Rueda_Derecha_joint,Rueda_Derecha_joint,continuous,"-0,0357","-0,0578478593522747","0,0210034789748472",0,"0,992086691936834","1,5707963267949",base_link,0,-1,0,50,50,,,,,"0,1","0,1",,,,
