Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,00022154","0,045716","0,037877",0,0,0,"0,31147","0,000292","-5,6539E-07","2,3206E-07","0,00035947","2,634E-05","0,00053514",0,0,0,0,0,0,package://futbol urdf/meshes/base_link.STL,1,1,1,"0,25",0,0,0,0,0,0,package://futbol urdf/meshes/base_link.STL,,FUTBOL-FRANK-1;Pieza111-1;SG90 - Micro Servo 9g - Tower Pro.1-3;SG90 - Micro Servo 9g - Tower Pro.1-4;DC_Gear_Motor-2;DC_Gear_Motor-1;tapa futbol-1,chasis_sys,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ruedader_Link,"5,3029E-07","3,9035E-05","-0,0039798",0,0,0,"0,0090011","1,1903E-06","2,8886E-13","2,5984E-12","1,1903E-06","-8,2999E-12","2,178E-06",0,0,0,0,0,0,package://futbol urdf/meshes/ruedader_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://futbol urdf/meshes/ruedader_Link.STL,,RIN LLANTA SUMO-FUT10 (1)-2;Llanta-2,ruedader_sys,eje_ruedader,ruedader_joint,continuous,"0,0465","0,0036812","0,013458","1,5708",0,"1,5708",base_link,0,0,-1,,,,,,,,,,,,
ruedaizq_Link,"5,3029E-07","3,9035E-05","-0,0039798",0,0,0,"0,0090011","1,1903E-06","2,8886E-13","2,5984E-12","1,1903E-06","-8,2999E-12","2,178E-06",0,0,0,0,0,0,package://futbol urdf/meshes/ruedaizq_Link.STL,"0,29804","0,29804","0,29804",1,0,0,0,0,0,0,package://futbol urdf/meshes/ruedaizq_Link.STL,,Llanta-1;RIN LLANTA SUMO-FUT10 (1)-1,ruedaizq_sys,eje_ruedaizq,ruedaizq_joint,continuous,"-0,0465","0,0036812","0,013458","1,5708",0,"-1,5708",base_link,0,0,-1,,,,,,,,,,,,
servoder_Link,"0,010446","0,0090603","0,011116",0,0,0,"0,0062162","6,8909E-07","-1,2721E-07","-2,8733E-08","7,2541E-07","-2,4923E-08","3,4005E-07",0,0,0,0,0,0,package://futbol urdf/meshes/servoder_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://futbol urdf/meshes/servoder_Link.STL,,Palanca-1;SG90 - Micro Servo 9g - Tower Pro.2-2,servoder_sys,eje_servoder,servoder_joint,revolute,"0,028374","0,093324","0,026131","-3,1416","-0,0020221","-1,5708",base_link,0,0,-1,0,0,0,0,,,,,,,,
servoizq_Link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://futbol urdf/meshes/servoizq_Link.STL,1,1,1,1,0,0,0,0,0,0,package://futbol urdf/meshes/servoizq_Link.STL,,Palanca-2;SG90 - Micro Servo 9g - Tower Pro.2-3,servoizq_sys,eje_servoizq,servoizq_joint,revolute,"-0,029099","0,092707","0,026132","-3,1416","-0,0020221","-1,5708",base_link,0,0,-1,0,0,0,0,,,,,,,,
